year,month,deliverable,n
2020,Feb,Test Protocol,117
2020,Feb,Test Protocol Results,43
2020,Feb,Software Change Request,40
2020,Feb,URS,36
2020,Feb,FRS,28
2020,Feb,IIVP,23
2020,Feb,Project Plan,23
2020,Feb,CII,19
2020,Feb,System Certification Summary,12
2020,Feb,Traceability,11
2020,Feb,IIVP results,9
2020,Feb,IA,8
2020,Feb,IVR,8
2020,Feb,TPR,7
2020,Feb,IDP/IIVP,6
2020,Feb,IIVP Results,5
2020,Feb,Software Compliance Assessment,5
2020,Feb,TP,5
2020,Feb,URS/FRS/TM,5
2020,Feb,ERES,4
2020,Feb,Maintenance Plan,4
2020,Feb,Move to Production,4
2020,Feb,Validation Plan,4
2020,Feb,SCR,4
2020,Feb,SCS/RN,4
2020,Feb,SPVP,4
2020,Feb,Other,3
2020,Feb,Test protocol,3
2020,Feb,DV-UT,3
2020,Feb,URS/TM,3
2020,Feb,Design Verification,2
2020,Feb,RetSummary,2
2020,Feb,MP,2
2020,Feb,SPR,2
2020,Feb,Data Privacy Plan,1
2020,Feb,IDP,1
2020,Feb,ISSD,1
2020,Feb,Release Notes,1
2020,Feb,Cancel package,1
2020,Feb,RetPlan,1
