year,month,Site,deliverable,n
2020,Jun,Dallas,Test Protocol,49
2020,Jun,Dallas,Test Protocol Results,48
2020,Jun,Dallas,Software Change Request,18
2020,Jun,Dallas,Software Compliance Assessment,11
2020,Jun,Dallas,IIVP,8
2020,Jun,Dallas,FRS,6
2020,Jun,Dallas,Traceability,6
2020,Jun,Dallas,CII,5
2020,Jun,Dallas,URS,5
2020,Jun,Dallas,Software Project Plan (SPP),5
2020,Jun,Dallas,Maintenance Plan,3
2020,Jun,Dallas,System Certification Summary,3
2020,Jun,Dallas,URS/FRS,3
2020,Jun,Dallas,Configuration Item Inventory (CII),3
2020,Jun,Dallas,Functional Requirements Specification (FRS),3
2020,Jun,Dallas,Identification of Supporting System Documentation (ISSD),3
2020,Jun,Dallas,Installation Instructions and Verification Protocol,3
2020,Jun,Dallas,Release 1.3.5 SCR,3
2020,Jun,Dallas,SLC e-Records/e-Signatures Risk Assessment (ERSRisk),3
2020,Jun,Dallas,IDP,2
2020,Jun,Dallas,IIVP results,2
2020,Jun,Dallas, Software Compliance (Validation) Assessment (SCA),2
2020,Jun,Dallas,Configuration Item Inventory Release 1.3.5 (CII),2
2020,Jun,Dallas,System Certification Summary and Release Notes VERA Req ID 1008,2
2020,Jun,Dallas,User Documentation (UDoc),2
2020,Jun,Dallas,User Requirements Specification (URS),2
2020,Jun,Dallas,v2.2.3 SCR,2
2020,Jun,Dallas,Design Verification,1
2020,Jun,Dallas,E-record & E-signature Risk Assessment,1
2020,Jun,Dallas,Maintenance Plan (MaintPlan),1
2020,Jun,Dallas,Software Validation Plan,1
2020,Jun,Dallas,System Architecture Description (SAD),1
2020,Jun,Dallas,TP1_TC1,1
2020,Jun,Dallas,TP1_TC2,1
2020,Jun,Dallas,TP4_TC1,1
2020,Jun,Dallas,TP4_TC2,1
2020,Jun,Dallas,TP4_TC3,1
2020,Jun,Dallas,TP5_TC1,1
2020,Jun,Dallas,TP5_TC2,1
2020,Jun,Dallas,TP5_TC3,1
2020,Jun,Dallas,Traceability Matrix - URS-FRS-Protocol VERA Req ID 996,1
2020,Jun,Dallas,User Documentation (UDOC) VERA Req ID 994,1
2020,Jun,Dallas,User Requirements Specification,1
2020,Jun,LC/Div,Test Protocol Results,800
2020,Jun,LC/Div,Test Protocol,47
2020,Jun,LC/Div,FRS,25
2020,Jun,LC/Div,IIVP results,24
2020,Jun,LC/Div,Software Change Request,20
2020,Jun,LC/Div,URS,18
2020,Jun,LC/Div,IIVP,14
2020,Jun,LC/Div,IIVP Results,9
2020,Jun,LC/Div,Project Plan,7
2020,Jun,LC/Div,Traceability,7
2020,Jun,LC/Div,Validation Plan,7
2020,Jun,LC/Div,CII,6
2020,Jun,LC/Div,ERES,6
2020,Jun,LC/Div,System Certification Summary,6
2020,Jun,LC/Div,IDP,5
2020,Jun,LC/Div,Maintenance Plan,5
2020,Jun,LC/Div,Move to Production,5
2020,Jun,LC/Div,Software Compliance Assessment,5
2020,Jun,LC/Div,Design Documentation,3
2020,Jun,LC/Div,ISSD,3
2020,Jun,LC/Div,Risk Assessment,2
2020,Jun,LC/Div,Release Notes,1
2020,Jun,Wiesbaden,URS/FRS,4
