year,month,deliverable,n
2020,Jun,Test Protocol Results,848
2020,Jun,Test Protocol,96
2020,Jun,Software Change Request,38
2020,Jun,FRS,31
2020,Jun,IIVP results,26
2020,Jun,URS,23
2020,Jun,IIVP,22
2020,Jun,Software Compliance Assessment,16
2020,Jun,Traceability,13
2020,Jun,CII,11
2020,Jun,IIVP Results,9
2020,Jun,System Certification Summary,9
2020,Jun,Maintenance Plan,8
2020,Jun,IDP,7
2020,Jun,Project Plan,7
2020,Jun,URS/FRS,7
2020,Jun,Validation Plan,7
2020,Jun,ERES,6
2020,Jun,Move to Production,5
2020,Jun,Software Project Plan (SPP),5
2020,Jun,Design Documentation,3
2020,Jun,ISSD,3
2020,Jun,Configuration Item Inventory (CII),3
2020,Jun,Functional Requirements Specification (FRS),3
2020,Jun,Identification of Supporting System Documentation (ISSD),3
2020,Jun,Installation Instructions and Verification Protocol,3
2020,Jun,Release 1.3.5 SCR,3
2020,Jun,SLC e-Records/e-Signatures Risk Assessment (ERSRisk),3
2020,Jun,Risk Assessment,2
2020,Jun, Software Compliance (Validation) Assessment (SCA),2
2020,Jun,Configuration Item Inventory Release 1.3.5 (CII),2
2020,Jun,System Certification Summary and Release Notes VERA Req ID 1008,2
2020,Jun,User Documentation (UDoc),2
2020,Jun,User Requirements Specification (URS),2
2020,Jun,v2.2.3 SCR,2
2020,Jun,Design Verification,1
2020,Jun,Release Notes,1
2020,Jun,E-record & E-signature Risk Assessment,1
2020,Jun,Maintenance Plan (MaintPlan),1
2020,Jun,Software Validation Plan,1
2020,Jun,System Architecture Description (SAD),1
2020,Jun,TP1_TC1,1
2020,Jun,TP1_TC2,1
2020,Jun,TP4_TC1,1
2020,Jun,TP4_TC2,1
2020,Jun,TP4_TC3,1
2020,Jun,TP5_TC1,1
2020,Jun,TP5_TC2,1
2020,Jun,TP5_TC3,1
2020,Jun,Traceability Matrix - URS-FRS-Protocol VERA Req ID 996,1
2020,Jun,User Documentation (UDOC) VERA Req ID 994,1
2020,Jun,User Requirements Specification,1
