year,month,deliverable,n
2020,Mar,Test Protocol,211
2020,Mar,FRS,46
2020,Mar,Software Change Request,44
2020,Mar,Test Protocol Results,41
2020,Mar,IIVP,31
2020,Mar,URS,30
2020,Mar,IIVP results,22
2020,Mar,System Certification Summary,22
2020,Mar,CII,13
2020,Mar,Traceability,12
2020,Mar,IIVP Results,10
2020,Mar,Software Compliance Assessment,10
2020,Mar,Maintenance Plan,9
2020,Mar,IA,9
2020,Mar,IVR,8
2020,Mar,URS/FRS,7
2020,Mar,Design Documentation,6
2020,Mar,SCS/RN,6
2020,Mar,URS/FRS/TM,6
2020,Mar,Move to Production,5
2020,Mar,Project Plan,5
2020,Mar,SCR,5
2020,Mar,TP,5
2020,Mar,ISSD,4
2020,Mar,Validation Plan,4
2020,Mar,IDP/IIVP,4
2020,Mar,TPR,4
2020,Mar,Release Notes,3
2020,Mar,ERES,2
2020,Mar,IDP,2
2020,Mar,Other,2
2020,Mar,SCA,2
2020,Mar,SPP,2
2020,Mar,User Requirement,2
2020,Mar,RA,2
2020,Mar,SPVP,2
2020,Mar,Data Privacy Plan,1
2020,Mar,User Acceptance Protocol results,1
2020,Mar,RetPlan,1
2020,Mar,User Doc,1
2020,Mar,DV-UT,1
2020,Mar,ESRA,1
2020,Mar,MP,1
2020,Mar,TM-URS to FRS,1
2020,Mar,TM-URS/FRS to TP,1
