year,month,deliverable,n
2020,Nov,Test Protocol Results,331
2020,Nov,Test Protocol,158
2020,Nov,TPR,74
2020,Nov,URS,53
2020,Nov,TP,42
2020,Nov,Software Change Request,30
2020,Nov,FRS,29
2020,Nov,CII,26
2020,Nov,IIVP,22
2020,Nov,IIVP results,19
2020,Nov,Validation Plan,18
2020,Nov,IVR,17
2020,Nov,System Certification Summary,14
2020,Nov,Installation Instructions and Verification Protocol ,14
2020,Nov,IIVP Results,13
2020,Nov,IA,11
2020,Nov,ISSD,9
2020,Nov,Project Plan,9
2020,Nov,SCS/RN,9
2020,Nov,IDP,8
2020,Nov,Traceability,8
2020,Nov,SPVP,8
2020,Nov,SCR,7
2020,Nov,Design Documentation,6
2020,Nov,Software Change Request ,6
2020,Nov,Test Results,6
2020,Nov,Design Verification,5
2020,Nov,Maintenance Plan,5
2020,Nov,Software Compliance Assessment,5
2020,Nov,IPDR,5
2020,Nov,SCS,5
2020,Nov,ERES,4
2020,Nov,Other,4
2020,Nov,Configuration Item Inventory ,4
2020,Nov,DV-UT,4
2020,Nov,TM-URS to TP,4
2020,Nov,URS/FRS,3
2020,Nov,RN,3
2020,Nov,TM-URS/FRS to TP,3
2020,Nov,Certification Summary ,2
2020,Nov,Maintenance Plan ,2
2020,Nov,Software Compliance Assessment ,2
2020,Nov,URS/FRS to Test Protocol Trace* ,2
2020,Nov,MP,2
2020,Nov,RA,2
2020,Nov,Data Migration Plan,1
2020,Nov,Business Impact Assessment ,1
2020,Nov,E-Record/E-Signature Risk Assessment ,1
2020,Nov,eRecord & eSignature Risk Assessment ,1
2020,Nov,eRIM Assessment also referred as DLM Assessment ,1
2020,Nov,Functional Requirements Specification ,1
2020,Nov,Functional Requirements Specification (FRS) ,1
2020,Nov,Identification of Supporting System Documents ,1
2020,Nov,Installation Instructions and Verification Protocol ? Prod Result ,1
2020,Nov,Installation Instructions and Verification Protocol ? QA Result ,1
2020,Nov,SCA,1
2020,Nov,System Architecture Description ,1
2020,Nov,User Requirement Specifications (URS) ,1
2020,Nov,User Requirements Specification ,1
2020,Nov,ESRA,1
