year,month,deliverable,n
2020,Oct,Test Protocol Results,291
2020,Oct,Test Protocol,122
2020,Oct,TP,99
2020,Oct,URS/FRS,51
2020,Oct,Software Change Request,42
2020,Oct,TPR,41
2020,Oct,System Certification Summary,29
2020,Oct,URS,25
2020,Oct,IIVP,22
2020,Oct,IIVP results,18
2020,Oct,FRS,17
2020,Oct,CII,16
2020,Oct,Traceability,15
2020,Oct,IA,13
2020,Oct,SCR,12
2020,Oct,IPDR,10
2020,Oct,IIVP Results,8
2020,Oct,User Requirement,8
2020,Oct,SPVP,8
2020,Oct,Software Compliance Assessment,7
2020,Oct,DV-UT,7
2020,Oct,MP,7
2020,Oct,Other,6
2020,Oct,IVR,6
2020,Oct,Data Migration Plan,5
2020,Oct,IDP,5
2020,Oct,Validation Plan,5
2020,Oct,ERES,4
2020,Oct,SCA,4
2020,Oct,Software Project Plan (SPP),4
2020,Oct,Design Documentation,3
2020,Oct,Maintenance Plan,3
2020,Oct,Project Plan,3
2020,Oct,Release Notes,2
2020,Oct,VVSR,2
2020,Oct,MCP,2
2020,Oct,RA,2
2020,Oct,ISSD,1
2020,Oct,Move to Production,1
2020,Oct,Risk Assessment,1
2020,Oct,ACR,1
2020,Oct,SAD,1
2020,Oct,UDOC,1
2020,Oct,DPP,1
2020,Oct,ESRA,1
2020,Oct,URS/FRS/TM,1
