year,month,Site,deliverable,n
2020,Sep,Dallas,Test Protocol,48
2020,Sep,Dallas,Software Change Request,18
2020,Sep,Dallas,Other,14
2020,Sep,Dallas,URS,12
2020,Sep,Dallas,Protocol Results,10
2020,Sep,Dallas,FRS,9
2020,Sep,Dallas,Risk Assessment,7
2020,Sep,Dallas,IPDR,7
2020,Sep,Dallas,IIVP,6
2020,Sep,Dallas,IIVP Results,6
2020,Sep,Dallas,System Certification Summary,5
2020,Sep,Dallas,Traceability,4
2020,Sep,Dallas,CII,3
2020,Sep,Dallas,Design Verification,3
2020,Sep,Dallas,Validation Plan,3
2020,Sep,Dallas,IIVP results,2
2020,Sep,Dallas,ISSD,2
2020,Sep,Dallas,Maintenance Plan,2
2020,Sep,Dallas,Project Plan,2
2020,Sep,Dallas,Test Protocol Results,2
2020,Sep,Dallas,Design Document,2
2020,Sep,Dallas,ACR,1
2020,Sep,Dallas,Protocol,1
2020,Sep,Dallas,Software Project Plan (SPP),1
2020,Sep,LC/Div,Test Protocol,626
2020,Sep,LC/Div,Test Protocol Results,452
2020,Sep,LC/Div,FRS,78
2020,Sep,LC/Div,test Protocol,47
2020,Sep,LC/Div,IIVP results,14
2020,Sep,LC/Div,IIVP,12
2020,Sep,LC/Div,Design Verification,11
2020,Sep,LC/Div,IIVP Results,11
2020,Sep,LC/Div,CII,10
2020,Sep,LC/Div,System Certification Summary,9
2020,Sep,LC/Div,Software Change Request,7
2020,Sep,LC/Div,Design Documentation,6
2020,Sep,LC/Div,ISSD,5
2020,Sep,LC/Div,Project Plan,5
2020,Sep,LC/Div,Software Compliance Assessment,5
2020,Sep,LC/Div,URS,5
2020,Sep,LC/Div,IDP,4
2020,Sep,LC/Div,Traceability,4
2020,Sep,LC/Div,Cancellation,2
2020,Sep,LC/Div,Maintenance Plan,2
2020,Sep,LC/Div,ERES,1
2020,Sep,LC/Div,Move to Production,1
2020,Sep,LC/Div,Release Notes,1
2020,Sep,Wiesbaden,TP,12
2020,Sep,Wiesbaden,TPR,9
2020,Sep,Wiesbaden,IIVP,3
2020,Sep,Wiesbaden,URS,3
2020,Sep,Wiesbaden,SCS/RN,3
2020,Sep,Wiesbaden,IDP,2
2020,Sep,Wiesbaden,ESRA,2
2020,Sep,Wiesbaden,IA,2
2020,Sep,Wiesbaden,IVR,2
2020,Sep,Wiesbaden,TM-URS to TP,2
2020,Sep,Wiesbaden,CII,1
2020,Sep,Wiesbaden,SCR,1
2020,Sep,Wiesbaden,MCP,1
2020,Sep,Wiesbaden,MP,1
2020,Sep,Wiesbaden,RA,1
2020,Sep,Wiesbaden,SPVP,1
