year,month,deliverable,n
2020,Sep,Test Protocol,674
2020,Sep,Test Protocol Results,454
2020,Sep,FRS,87
2020,Sep,test Protocol,47
2020,Sep,Software Change Request,25
2020,Sep,IIVP,21
2020,Sep,URS,20
2020,Sep,IIVP Results,17
2020,Sep,IIVP results,16
2020,Sep,CII,14
2020,Sep,Design Verification,14
2020,Sep,Other,14
2020,Sep,System Certification Summary,14
2020,Sep,TP,12
2020,Sep,Protocol Results,10
2020,Sep,TPR,9
2020,Sep,Traceability,8
2020,Sep,ISSD,7
2020,Sep,Project Plan,7
2020,Sep,Risk Assessment,7
2020,Sep,IPDR,7
2020,Sep,Design Documentation,6
2020,Sep,IDP,6
2020,Sep,Software Compliance Assessment,5
2020,Sep,Maintenance Plan,4
2020,Sep,Validation Plan,3
2020,Sep,SCS/RN,3
2020,Sep,Cancellation,2
2020,Sep,Design Document,2
2020,Sep,ESRA,2
2020,Sep,IA,2
2020,Sep,IVR,2
2020,Sep,TM-URS to TP,2
2020,Sep,ERES,1
2020,Sep,Move to Production,1
2020,Sep,Release Notes,1
2020,Sep,ACR,1
2020,Sep,Protocol,1
2020,Sep,SCR,1
2020,Sep,Software Project Plan (SPP),1
2020,Sep,MCP,1
2020,Sep,MP,1
2020,Sep,RA,1
2020,Sep,SPVP,1
