year,month,deliverable,n
2021,Apr,Test Protocol Results,259
2021,Apr,Test Protocol,125
2021,Apr,FRS,38
2021,Apr,TPR,38
2021,Apr,IPDR Effectiveness Check,22
2021,Apr,Software Change Request,22
2021,Apr,URS,22
2021,Apr,IPDR Proposed Resolution,20
2021,Apr,Traceability,16
2021,Apr,CII,15
2021,Apr,System Certification Summary,15
2021,Apr,TP,15
2021,Apr,IIVP results,13
2021,Apr,ACR Proposed Resolution,12
2021,Apr,Software Compliance Assessment,12
2021,Apr,IIVP,9
2021,Apr,DV-UT,8
2021,Apr,IVR,8
2021,Apr,Data Migration Plan,7
2021,Apr,Project Plan,7
2021,Apr,Validation Plan,7
2021,Apr,Other,6
2021,Apr,ACR-Pre,6
2021,Apr,IA,6
2021,Apr,Design Documentation,5
2021,Apr,IDP,5
2021,Apr,SCS/RN,5
2021,Apr,ACR Effectiveness Check,4
2021,Apr,ISSD,4
2021,Apr,test protocol,4
2021,Apr,URS/FRS,3
2021,Apr,SCR,3
2021,Apr,IPDR-Post,3
2021,Apr,MP,3
2021,Apr,SPVP,3
2021,Apr,Move to Production,2
2021,Apr,Software Change Request ,2
2021,Apr,SCS,2
2021,Apr,Design Verification,1
2021,Apr,Maintenance Plan,1
2021,Apr,Risk Assessment,1
2021,Apr,SCA,1
2021,Apr,ACR-Post,1
2021,Apr,DPP,1
2021,Apr,IPDR-Pre,1
2021,Apr,RN,1
2021,Apr,TM-URS/FRS to TP,1
