year,month,deliverable,n
2021,May,Test Protocol,163
2021,May,Test Protocol Results,81
2021,May,Software Change Request,34
2021,May,URS,29
2021,May,ACR Proposed Resolution,26
2021,May,CII,24
2021,May,TP,19
2021,May,IIVP results,17
2021,May,IPDR Proposed Resolution,15
2021,May,IIVP,13
2021,May,FRS,12
2021,May,ACR Effectiveness Check,11
2021,May,Software Compliance Assessment,11
2021,May,IDP,10
2021,May,IPDR Effectiveness Check,10
2021,May,System Certification Summary,10
2021,May,Other,9
2021,May,Project Plan,9
2021,May,test protocol,9
2021,May,ACR-Pre,7
2021,May,MP,7
2021,May,Traceability,5
2021,May,URS/FRS,5
2021,May,ACR-Post,5
2021,May,IA,5
2021,May,Data Migration Plan,4
2021,May,Maintenance Plan,4
2021,May,ISSD,3
2021,May,Validation Plan,3
2021,May,SCA,3
2021,May,ESRA,3
2021,May,IVR,3
2021,May,MCP,3
2021,May,SPVP,3
2021,May,TM-URS/FRS to TP,3
2021,May,TPR,3
2021,May,Design Documentation,2
2021,May,Design Verification,2
2021,May,Move to Production,2
2021,May,Release notes,2
2021,May,Risk Assessment,2
2021,May,SCR,2
2021,May,DV-UT,2
2021,May,RA,2
2021,May,SCS,2
2021,May,SCS/RN,2
2021,May,Data Privacy Plan,1
2021,May,ERES,1
2021,May,test Protocol,1
2021,May,User Acceptance Protocol,1
2021,May,Software Change Request ,1
2021,May,RN,1
2021,May,TM-URS to TP,1
