year,month,Site,deliverable,n
2020,Aug,Dallas,Test Protocol,50
2020,Aug,Dallas,Test Protocol Results,27
2020,Aug,Dallas,Software Change Request,15
2020,Aug,Dallas,System Certification Summary,8
2020,Aug,Dallas,Traceability,8
2020,Aug,Dallas,URS,7
2020,Aug,Dallas,CII,6
2020,Aug,Dallas,ISSD,6
2020,Aug,Dallas,Maintenance Plan,6
2020,Aug,Dallas,Software Compliance Assessment,5
2020,Aug,Dallas,IPDR,5
2020,Aug,Dallas,IIVP results,4
2020,Aug,Dallas,ERES,3
2020,Aug,Dallas,FRS,3
2020,Aug,Dallas,Validation Plan,3
2020,Aug,Dallas,IIVP,2
2020,Aug,Dallas,Other,2
2020,Aug,Dallas,SAD,2
2020,Aug,Dallas,Project Plan,1
2020,Aug,Dallas,Risk Assessment,1
2020,Aug,Dallas,URS/FRS,1
2020,Aug,Dallas,ACR,1
2020,Aug,Dallas,BIA,1
2020,Aug,Dallas,erim,1
2020,Aug,Dallas,UDOC,1
2020,Aug,Dallas,User Configuration Guide ? Other-01 VERA Req ID 814,1
2020,Aug,LC/Div,Test Protocol Results,481
2020,Aug,LC/Div,Test Protocol,111
2020,Aug,LC/Div,FRS,42
2020,Aug,LC/Div,IIVP Results,32
2020,Aug,LC/Div,IIVP,26
2020,Aug,LC/Div,Traceability,26
2020,Aug,LC/Div,System Certification Summary,17
2020,Aug,LC/Div,IIVP results,9
2020,Aug,LC/Div,Software Change Request,9
2020,Aug,LC/Div,CII,7
2020,Aug,LC/Div,Software Compliance Assessment,6
2020,Aug,LC/Div,Project Plan,5
2020,Aug,LC/Div,URS,5
2020,Aug,LC/Div,Data Migration Plan,4
2020,Aug,LC/Div,Design Documentation,4
2020,Aug,LC/Div,IDP,4
2020,Aug,LC/Div,Maintenance Plan,4
2020,Aug,LC/Div,Validation Plan,4
2020,Aug,LC/Div,ISSD,2
2020,Aug,LC/Div,Data Privacy Plan,1
2020,Aug,LC/Div,ERES,1
2020,Aug,LC/Div,Move to Production,1
2020,Aug,LC/Div,Risk Assessment,1
2020,Aug,LC/Div,Test Protocol results,1
2020,Aug,Wiesbaden,TP,12
2020,Aug,Wiesbaden,IDP,7
2020,Aug,Wiesbaden,IIVP,6
2020,Aug,Wiesbaden,MP,6
2020,Aug,Wiesbaden,SPVP,6
2020,Aug,Wiesbaden,URS,5
2020,Aug,Wiesbaden,SCA,5
2020,Aug,Wiesbaden,ESRA,5
2020,Aug,Wiesbaden,DV-UT,4
2020,Aug,Wiesbaden,IA,4
2020,Aug,Wiesbaden,IVR,4
2020,Aug,Wiesbaden,URS/FRS,3
2020,Aug,Wiesbaden,RA,3
2020,Aug,Wiesbaden,CII,2
2020,Aug,Wiesbaden,SCR,2
2020,Aug,Wiesbaden,SCS/RN,2
2020,Aug,Wiesbaden,TPR,2
2020,Aug,Wiesbaden,MCP,1
2020,Aug,Wiesbaden,TM-URS to TP,1
2020,Aug,Wiesbaden,TM-URS/FRS to TP,1
