year,month,deliverable,n
2021,Aug,Test Protocol,125
2021,Aug,Test Protocol Results,112
2021,Aug,ACR Proposed Resolution,62
2021,Aug,test protocol,44
2021,Aug,IPDR Proposed Resolution,36
2021,Aug,Software Change Request,35
2021,Aug,ACR Effectiveness Check,29
2021,Aug,FRS,29
2021,Aug,System Certification Summary,20
2021,Aug,CII,19
2021,Aug,IIVP,18
2021,Aug,IIVP results,16
2021,Aug,URS,14
2021,Aug,TP,14
2021,Aug,IPDR Effectiveness Check,12
2021,Aug,Traceability,12
2021,Aug,SCR,12
2021,Aug,Software Compliance Assessment,10
2021,Aug,Validation Plan,9
2021,Aug,URS/FRS,8
2021,Aug,ACR-Pre,8
2021,Aug,IA,8
2021,Aug,IVR,8
2021,Aug,SPVP,7
2021,Aug,DV-UT,6
2021,Aug,IDP,5
2021,Aug,Maintenance Plan,5
2021,Aug,Project Plan,5
2021,Aug,SCS/RN,5
2021,Aug,Design Verification,4
2021,Aug,ISSD,3
2021,Aug,Functional Requirement,3
2021,Aug,MP,3
2021,Aug,idp,2
2021,Aug,Software Change Request.,2
2021,Aug,ACR-Post,2
2021,Aug,TPR,2
2021,Aug,Design Documentation,1
2021,Aug,Other,1
2021,Aug,Release notes,1
2021,Aug,Risk Assessment,1
2021,Aug,test Protocol,1
2021,Aug,QMS Applications used by the Dallas site,1
2021,Aug,ESRA,1
2021,Aug,IPDR-Post,1
2021,Aug,MCP,1
2021,Aug,RN,1
2021,Aug,TM-URS/FRS to TP,1
