year,month,Site,deliverable,n
2020,Dec,Dallas,Test Protocol,72
2020,Dec,Dallas,Test Protocol Results,24
2020,Dec,Dallas,FRS,8
2020,Dec,Dallas,System Certification Summary,8
2020,Dec,Dallas,IIVP QA Test Results,8
2020,Dec,Dallas,IPDR,8
2020,Dec,Dallas,IIVP results,5
2020,Dec,Dallas,Other,2
2020,Dec,Dallas,Traceability,2
2020,Dec,Dallas,Trace Matrix,2
2020,Dec,Dallas,CII,1
2020,Dec,Dallas,Software Change Request,1
2020,Dec,Dallas,ACR,1
2020,Dec,Dallas,Regression Test Results,1
2020,Dec,LC/Div,Test Protocol Results,84
2020,Dec,LC/Div,Test Protocol,61
2020,Dec,LC/Div,FRS,37
2020,Dec,LC/Div,Software Change Request,20
2020,Dec,LC/Div,IIVP results,19
2020,Dec,LC/Div,System Certification Summary,16
2020,Dec,LC/Div,Traceability,14
2020,Dec,LC/Div,CII,12
2020,Dec,LC/Div,Design Verification,9
2020,Dec,LC/Div,ISSD,8
2020,Dec,LC/Div,IDP,6
2020,Dec,LC/Div,Maintenance Plan,6
2020,Dec,LC/Div,Project Plan,6
2020,Dec,LC/Div,IIVP,4
2020,Dec,LC/Div,Design Documentation,3
2020,Dec,LC/Div,URS,3
2020,Dec,LC/Div,IIVP Results,2
2020,Dec,LC/Div,Software Compliance Assessment,2
2020,Dec,LC/Div,Data Privacy Plan,1
2020,Dec,LC/Div,ERES,1
2020,Dec,LC/Div,Move to Production,1
2020,Dec,LC/Div,Risk Assessment,1
2020,Dec,LC/Div,Validation Plan,1
2020,Dec,Wiesbaden,IIVP,10
2020,Dec,Wiesbaden,IVR,10
2020,Dec,Wiesbaden,TPR,9
2020,Dec,Wiesbaden,TP,7
2020,Dec,Wiesbaden,SCA,4
2020,Dec,Wiesbaden,SCR,4
2020,Dec,Wiesbaden,IA,3
2020,Dec,Wiesbaden,CII,2
2020,Dec,Wiesbaden,IDP,2
2020,Dec,Wiesbaden,DV-UT,2
2020,Dec,Wiesbaden,ESRA,2
2020,Dec,Wiesbaden,SCS/RN,2
2020,Dec,Wiesbaden,TM-URS to TP,2
2020,Dec,Wiesbaden,MP,1
