year,month,Site,deliverable,n
2020,Feb,Dallas,Test Protocol,29
2020,Feb,Dallas,Software Change Request,27
2020,Feb,Dallas,IIVP,13
2020,Feb,Dallas,FRS,10
2020,Feb,Dallas,Test Protocol Results,10
2020,Feb,Dallas,Traceability,9
2020,Feb,Dallas,URS,7
2020,Feb,Dallas,CII,5
2020,Feb,Dallas,IIVP results,4
2020,Feb,Dallas,Maintenance Plan,3
2020,Feb,Dallas,Other,3
2020,Feb,Dallas,Project Plan,2
2020,Feb,Dallas,System Certification Summary,2
2020,Feb,Dallas,RetSummary,2
2020,Feb,Dallas,Software Compliance Assessment,1
2020,Feb,Dallas,Test protocol,1
2020,Feb,Dallas,Cancel package,1
2020,Feb,Dallas,RetPlan,1
2020,Feb,LC/Div,Test Protocol,88
2020,Feb,LC/Div,Test Protocol Results,33
2020,Feb,LC/Div,URS,29
2020,Feb,LC/Div,Project Plan,21
2020,Feb,LC/Div,FRS,18
2020,Feb,LC/Div,Software Change Request,13
2020,Feb,LC/Div,IIVP,10
2020,Feb,LC/Div,System Certification Summary,10
2020,Feb,LC/Div,IIVP results,5
2020,Feb,LC/Div,IIVP Results,5
2020,Feb,LC/Div,ERES,4
2020,Feb,LC/Div,Move to Production,4
2020,Feb,LC/Div,Software Compliance Assessment,4
2020,Feb,LC/Div,Validation Plan,4
2020,Feb,LC/Div,CII,2
2020,Feb,LC/Div,Design Verification,2
2020,Feb,LC/Div,Test protocol,2
2020,Feb,LC/Div,Traceability,2
2020,Feb,LC/Div,Data Privacy Plan,1
2020,Feb,LC/Div,IDP,1
2020,Feb,LC/Div,ISSD,1
2020,Feb,LC/Div,Maintenance Plan,1
2020,Feb,LC/Div,Release Notes,1
2020,Feb,Wiesbaden,CII,12
2020,Feb,Wiesbaden,IA,8
2020,Feb,Wiesbaden,IVR,8
2020,Feb,Wiesbaden,TPR,7
2020,Feb,Wiesbaden,IDP/IIVP,6
2020,Feb,Wiesbaden,TP,5
2020,Feb,Wiesbaden,URS/FRS/TM,5
2020,Feb,Wiesbaden,SCR,4
2020,Feb,Wiesbaden,SCS/RN,4
2020,Feb,Wiesbaden,SPVP,4
2020,Feb,Wiesbaden,DV-UT,3
2020,Feb,Wiesbaden,URS/TM,3
2020,Feb,Wiesbaden,MP,2
2020,Feb,Wiesbaden,SPR,2
