year,month,deliverable,n
2021,Jan,Test Protocol,308
2021,Jan,Test Protocol Results,159
2021,Jan,FRS,26
2021,Jan,Software Change Request,20
2021,Jan,System Certification Summary,20
2021,Jan,Traceability,16
2021,Jan,IIVP,13
2021,Jan,CII,10
2021,Jan,IDP,10
2021,Jan,IPDR,9
2021,Jan,TP,9
2021,Jan,URS,8
2021,Jan,IIVP results,7
2021,Jan,test protocol,7
2021,Jan,URS/FRS,7
2021,Jan,IPDR Effectiveness Check,7
2021,Jan,DV-UT,7
2021,Jan,MP,7
2021,Jan,ISSD,6
2021,Jan,Data Migration Plan,5
2021,Jan,SPVP,5
2021,Jan,Software Compliance Assessment,4
2021,Jan,SCA,4
2021,Jan,User Requirement,4
2021,Jan,Design Documentation,3
2021,Jan,SCR,3
2021,Jan,Other,2
2021,Jan,Project Plan,2
2021,Jan,ACR,2
2021,Jan,SAD,2
2021,Jan,Software Project Plan (SPP),2
2021,Jan,Test Results,2
2021,Jan,Trace Matrix,2
2021,Jan,IA,2
2021,Jan,ERES,1
2021,Jan,Maintenance Plan,1
2021,Jan,Move to Production,1
2021,Jan,Risk Assessment,1
2021,Jan,Validation Plan,1
2021,Jan,Configuration Item Inventory ,1
2021,Jan,RA,1
