year,month,deliverable,n
2021,Jun,Test Protocol Results,143
2021,Jun,Test Protocol,79
2021,Jun,ACR Proposed Resolution,48
2021,Jun,FRS,43
2021,Jun,test protocol,41
2021,Jun,Software Change Request,38
2021,Jun,URS/FRS,38
2021,Jun,URS,37
2021,Jun,TP,34
2021,Jun,IPDR Proposed Resolution,32
2021,Jun,System Certification Summary,26
2021,Jun,Traceability,24
2021,Jun,TPR,24
2021,Jun,CII,18
2021,Jun,IIVP results,18
2021,Jun,IA,16
2021,Jun,IVR,15
2021,Jun,IIVP,13
2021,Jun,IPDR Effectiveness Check,12
2021,Jun,SCR,12
2021,Jun,IDP,11
2021,Jun,test Protocol,8
2021,Jun,ACR Effectiveness Check,7
2021,Jun,SCS,7
2021,Jun,Design Documentation,6
2021,Jun,Project Plan,6
2021,Jun,TM-URS/FRS to TP,6
2021,Jun,Other,5
2021,Jun,SCS/RN,5
2021,Jun,SPVP,5
2021,Jun,Maintenance Plan,4
2021,Jun,DV-UT,4
2021,Jun,MCP,4
2021,Jun,RN,4
2021,Jun,Data Migration Plan,3
2021,Jun,ISSD,3
2021,Jun,Software Compliance Assessment,3
2021,Jun,SCA,3
2021,Jun,ACR-Post,3
2021,Jun,ACR-Pre,3
2021,Jun,MP,3
2021,Jun,TM-URS to TP,2
2021,Jun,IIVP Results,1
2021,Jun,Release Notes,1
2021,Jun,User Acceptance Protocol results,1
2021,Jun,Validation Plan,1
2021,Jun,RA,1
