year,month,deliverable,n
2021,Mar,Test Protocol,257
2021,Mar,Test Protocol Results,202
2021,Mar,TP,36
2021,Mar,test protocol,33
2021,Mar,Software Change Request,31
2021,Mar,TPR,28
2021,Mar,URS,20
2021,Mar,IIVP,19
2021,Mar,Software Compliance Assessment,19
2021,Mar,System Certification Summary,18
2021,Mar,Traceability,17
2021,Mar,IVR,17
2021,Mar,ACR Proposed Resolution,16
2021,Mar,IIVP results,16
2021,Mar,IPDR Proposed Resolution,16
2021,Mar,ACR-Post,16
2021,Mar,FRS,14
2021,Mar,CII,13
2021,Mar,IA,9
2021,Mar,IPDR-Pre,7
2021,Mar,SCA,6
2021,Mar,Test Results,6
2021,Mar,Configuration Item Inventory ,5
2021,Mar,SCR,5
2021,Mar,ACR-Pre,5
2021,Mar,SPVP,5
2021,Mar,Other,4
2021,Mar,URS/FRS,4
2021,Mar,Validation Plan,4
2021,Mar,Certification Summary ,4
2021,Mar,MP,4
2021,Mar,SCS,4
2021,Mar,TM-URS/FRS to TP,4
2021,Mar,Functional Requirements Specification (FRS) ,3
2021,Mar,Installation Instructions and Verification Protocol ,3
2021,Mar,MCP,3
2021,Mar,ACR Effectiveness Check,2
2021,Mar,Data Migration Plan,2
2021,Mar,Design Verification,2
2021,Mar,ERES,2
2021,Mar,Move to Production,2
2021,Mar,Project Plan,2
2021,Mar,FRS - individual FRSes,2
2021,Mar,Maintenance Plan ,2
2021,Mar,Software Change Request ,2
2021,Mar,URS - individual URSes,2
2021,Mar,URS/FRS to Test Protocol Trace* ,2
2021,Mar,RN,2
2021,Mar,ISSD,1
2021,Mar,Maintenance Plan,1
2021,Mar,ACR,1
2021,Mar,Identification of Supporting System Documentation (ISSD) ,1
2021,Mar,Software Compliance Assessment Form ,1
2021,Mar,Test Protocol 01  ,1
2021,Mar,Test Protocol 02,1
2021,Mar,Test Protocol 03 ,1
2021,Mar,Test Protocol 04 ,1
2021,Mar,Test Protocol 06,1
2021,Mar,Traceability Matrix ,1
2021,Mar,SCS/RN,1
