year,month,deliverable,n
2020,May,Test Protocol Results,378
2020,May,Test Protocol,255
2020,May,URS,41
2020,May,FRS,38
2020,May,IIVP,32
2020,May,IIVP results,25
2020,May,Software Change Request,21
2020,May,System Certification Summary,19
2020,May,CII,16
2020,May,Software Compliance Assessment,14
2020,May,URS/FRS,10
2020,May,Traceability,8
2020,May,IIVP Results,7
2020,May,ERES,6
2020,May,ISSD,6
2020,May,Maintenance Plan,6
2020,May,Other,6
2020,May,Validation Plan,6
2020,May,IDP,5
2020,May,IA,5
2020,May,Move to Production,4
2020,May,Project Plan,4
2020,May,Identification of Supporting System Documentation (ISSD) ,4
2020,May,SPVP,4
2020,May,URS/FRS/TM,4
2020,May,Software Change Request ,3
2020,May,Traceability Matrix ,3
2020,May,Traceability Matrix - URS-FRS-Protocol ,3
2020,May,TPR,3
2020,May,Design Documentation,2
2020,May,Configuration Item Inventory (CII) ,2
2020,May,Installation Instructions and Verification Protocol ,2
2020,May,Software Project Plan,2
2020,May,Software Verification & Validation Plan,2
2020,May,Test Protocol-12  (Result document),2
2020,May,User Requirements Specification (URS) ÿ,2
2020,May,DV-UT,2
2020,May,IDP/IIVP,2
2020,May,IVR,2
2020,May,MP,2
2020,May,SCS/RN,2
2020,May,TP,2
2020,May,Release Notes,1
2020,May,Risk Assessment,1
2020,May,Alinity ci-series LIS Interface Manual (HL7) ,1
2020,May,Configuration Item Inventory ,1
2020,May,E-record & E-signature Risk Assessment ,1
2020,May,Functional Requirements Specification (FRS),1
2020,May,Installation Instructions and Verification Protocol,1
2020,May,Installation Instructions and Verification Protocol  (Result document),1
2020,May,Installation Instructions and Verification Protocol Results ,1
2020,May,SCA,1
2020,May,SCR,1
2020,May,Software Architecture Description (SAD) ,1
2020,May,Software Design Description ,1
2020,May,Test Protocol-03 VERA  (Result document),1
2020,May,"Test Protocol-03 VERA Test ID 363, 364, and 365",1
2020,May,Test Protocol-07  (Result document),1
2020,May,Test Protocol-07 VERA ,1
2020,May,Test Protocol-08  (Result document),1
2020,May,Test Protocol-08 VERA,1
2020,May,Test Protocol-12 ,1
2020,May,Test Protocol 01 Result (Passed) ,1
2020,May,Test Protocol 01 ÿ,1
2020,May,Test Protocol 02,1
2020,May,Test Protocol 02 - Result (Passed) ,1
2020,May,Test Protocol 03 ,1
2020,May,Test Protocol 03 - Result (Passed) ,1
2020,May,Test Protocol 04 ,1
2020,May,Test Protocol 04 - Result (Passed) Approval date is the approval date of Run ID that complete the test protocol.,1
2020,May,Test Protocol 05 ,1
2020,May,Test Protocol 05 - Result (Passed) ,1
2020,May,User Documentation (UDOC) ,1
2020,May,User Requirements Specification ,1
2020,May,SE,1
2020,May,SPR,1
