year,month,Site,deliverable,n
2021,Sep,Dallas,Test Protocol,77
2021,Sep,Dallas,Test Protocol Results,22
2021,Sep,Dallas,IPDR Proposed Resolution,6
2021,Sep,Dallas,Software Compliance Assessment,6
2021,Sep,Dallas,System Certification Summary,6
2021,Sep,Dallas,Project Plan,5
2021,Sep,Dallas,URS/FRS,5
2021,Sep,Dallas,Software Change Request,4
2021,Sep,Dallas,IIVP,3
2021,Sep,Dallas,IPDR Effectiveness Check,3
2021,Sep,Dallas,Maintenance Plan,3
2021,Sep,Dallas,Traceability,3
2021,Sep,Dallas,ERES,2
2021,Sep,Dallas,FRS,2
2021,Sep,Dallas,IIVP results,2
2021,Sep,Dallas,Risk Assessment,2
2021,Sep,Dallas,URS,2
2021,Sep,Dallas,CII,1
2021,Sep,LC/Div,FRS,133
2021,Sep,LC/Div,Test Protocol Results,98
2021,Sep,LC/Div,test protocol,71
2021,Sep,LC/Div,Test Protocol,53
2021,Sep,LC/Div,URS,35
2021,Sep,LC/Div,Software Change Request,24
2021,Sep,LC/Div,ACR Proposed Resolution,21
2021,Sep,LC/Div,IPDR Effectiveness Check,18
2021,Sep,LC/Div,System Certification Summary,18
2021,Sep,LC/Div,ACR Effectiveness Check,17
2021,Sep,LC/Div,URS/FRS,15
2021,Sep,LC/Div,IPDR Proposed Resolution,14
2021,Sep,LC/Div,Traceability,14
2021,Sep,LC/Div,CII,12
2021,Sep,LC/Div,IIVP,12
2021,Sep,LC/Div,Software Compliance Assessment,11
2021,Sep,LC/Div,IDP,7
2021,Sep,LC/Div,IIVP results,7
2021,Sep,LC/Div,ERES,5
2021,Sep,LC/Div,Maintenance Plan,5
2021,Sep,LC/Div,ISSD,4
2021,Sep,LC/Div,Other,4
2021,Sep,LC/Div,Project Plan,4
2021,Sep,LC/Div,software Change Request,3
2021,Sep,LC/Div,Validation Plan,3
2021,Sep,LC/Div,Design Documentation,2
2021,Sep,LC/Div,Design Verification,2
2021,Sep,LC/Div,Risk Assessment,2
2021,Sep,LC/Div,urs,2
2021,Sep,LC/Div,Release notes,1
2021,Sep,Wiesbaden,DV-UT,24
2021,Sep,Wiesbaden,URS/FRS,21
2021,Sep,Wiesbaden,TP,21
2021,Sep,Wiesbaden,IVR,20
2021,Sep,Wiesbaden,TPR,20
2021,Sep,Wiesbaden,IPDR-Post,16
2021,Sep,Wiesbaden,IA,14
2021,Sep,Wiesbaden,SCR,13
2021,Sep,Wiesbaden,TM-URS/FRS to TP,13
2021,Sep,Wiesbaden,IIVP,12
2021,Sep,Wiesbaden,ACR-Post,12
2021,Sep,Wiesbaden,CII,9
2021,Sep,Wiesbaden,SCS/RN,8
2021,Sep,Wiesbaden,SPVP,8
2021,Sep,Wiesbaden,ACR-Pre,5
2021,Sep,Wiesbaden,IPDR-Pre,5
2021,Sep,Wiesbaden,MP,5
2021,Sep,Wiesbaden,RN,2
2021,Sep,Wiesbaden,SCS,2
2021,Sep,Wiesbaden,IDP,1
2021,Sep,Wiesbaden,ESRA,1
2021,Sep,Wiesbaden,SCA,1
2021,Sep,Wiesbaden,TM-URS to TP,1
