year,month,deliverable,n
2021,Sep,FRS,135
2021,Sep,Test Protocol,130
2021,Sep,Test Protocol Results,120
2021,Sep,test protocol,71
2021,Sep,URS/FRS,41
2021,Sep,URS,37
2021,Sep,Software Change Request,28
2021,Sep,IIVP,27
2021,Sep,System Certification Summary,24
2021,Sep,DV-UT,24
2021,Sep,CII,22
2021,Sep,ACR Proposed Resolution,21
2021,Sep,IPDR Effectiveness Check,21
2021,Sep,TP,21
2021,Sep,IPDR Proposed Resolution,20
2021,Sep,IVR,20
2021,Sep,TPR,20
2021,Sep,ACR Effectiveness Check,17
2021,Sep,Software Compliance Assessment,17
2021,Sep,Traceability,17
2021,Sep,IPDR-Post,16
2021,Sep,IA,14
2021,Sep,SCR,13
2021,Sep,TM-URS/FRS to TP,13
2021,Sep,ACR-Post,12
2021,Sep,IIVP results,9
2021,Sep,Project Plan,9
2021,Sep,IDP,8
2021,Sep,Maintenance Plan,8
2021,Sep,SCS/RN,8
2021,Sep,SPVP,8
2021,Sep,ERES,7
2021,Sep,ACR-Pre,5
2021,Sep,IPDR-Pre,5
2021,Sep,MP,5
2021,Sep,ISSD,4
2021,Sep,Other,4
2021,Sep,Risk Assessment,4
2021,Sep,software Change Request,3
2021,Sep,Validation Plan,3
2021,Sep,Design Documentation,2
2021,Sep,Design Verification,2
2021,Sep,urs,2
2021,Sep,RN,2
2021,Sep,SCS,2
2021,Sep,Release notes,1
2021,Sep,ESRA,1
2021,Sep,SCA,1
2021,Sep,TM-URS to TP,1
