SQA,Project ID,Application,Deliverable,Doc Version,"Doc ID, if needed",Approve or Disapprove,Date of Approval or Disapproval,Reason for Disapproval,Comments
Lan,DA-S 00622 . 008,Global Product Part Master (GPPM),IIVP, - Vers 01, - Install-01,D,15-May-2019,Multiple Errors,Email
Lan,DA-S 00622 . 008,Global Product Part Master (GPPM),IIVP, - Vers 01, - Install-01,A,15-May-2019,,
Arun,DA-S 01112.000,Global Product Part Master (GPPM),Software Change Request,8,SCR-08,D,10-Jul-2019,Inaccurate information,Email
Arun,DA-S 01112.000,Global Product Part Master (GPPM),URS,3,URS-03,D,16-Jul-2019,Inaccurate information,Email
Carole,DA-S00919.004,Global Product Part Master (GPPM),IIVP,1,Install-03,D,19-Jul-2019,Inaccurate information,Email
Carole,DA-S00921.001,Global Product Part Master (GPPM),IIVP,1,Install-02,D,19-Jul-2019,Mutlible Errors,Email
Lan,DA-S 01069.003,Global Product Part Master (GPPM),URS,5,SRS-01ver5 FRS for QIST v3.2,D,21-Jul-2019,Inaccurate information,Email
Carole,DA-S00919.004,Global Product Part Master (GPPM),IIVP,1,Install-03,A,22-Jul-2019,N/A,
Carole,DA-S00921.001,Global Product Part Master (GPPM),IIVP,1,Install-02,A,22-Jul-2019,N/A,
Carole,DA-S00922.001,Global Product Part Master (GPPM),IIVP,1,Install-01,A-FP,22-Jul-2019,N/A,
Carole,DA-S00923.001 ,Global Product Part Master (GPPM),IIVP,1,Install-01,A-FP,22-Jul-2019,N/A,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),IIVP,1,Install-03,A-FP,22-Jul-2019,N/A,
Lan,DA-S 01069.003,Global Product Part Master (GPPM),URS,5,SRS-01ver5 FRS for QIST v3.2,A,24-Jul-2019,,
Lan,DA-S 01069.003,Global Product Part Master (GPPM),Project Plan,1,SPP-02ver01 SPP for QIST v3.2,A,29-Jul-2019,,
Carole,DA-S00921.001,Global Product Part Master (GPPM),IIVP results,1,Install-02,A,29-Jul-2019,N/A,
Carole,DA-S00922.001,Global Product Part Master (GPPM),Test Protocol,1,Protocol-26,A-FP,29-Jul-2019,N/A,
Carole,DA-S00923.001 ,Global Product Part Master (GPPM),Test Protocol,1,Protocol-10,A-FP,29-Jul-2019,N/A,
Arun,DA-S 01112.000,Global Product Part Master (GPPM),Software Change Request,8,SCR-08,A,30-Jul-2019,,NPV
Arun,DA-S 01112.000,Global Product Part Master (GPPM),URS,3,URS-03,A,31-Jul-2019,,NPV
Lan,DA-S 01069.003,Global Product Part Master (GPPM),FRS,5,SRS-01ver5 FRS for QIST v3.2,D,1-Aug-2019,Inaccurate information,Email
Lan,DA-S 01069.003,Global Product Part Master (GPPM),Project Plan,5,SPP-02ver01 SPP for QIST v3.2,D,1-Aug-2019,Inaccurate information,Email
Arun,DA-S 01112.000,Global Product Part Master (GPPM),FRS,5,FRS-05,D,1-Aug-2019,Inaccurate information,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-01,D,1-Aug-2019,Mutlible Errors,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-02,D,1-Aug-2019,Mutlible Errors,Email
Lan,DA-S 01457.000,Global Product Part Master (GPPM),URS,1,URS-01v02 URSs Specification],D,2-Aug-2019,Mutlible Errors,Email
Ken,DA-S01449.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-02,D,2-Aug-2019,Not using template,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-01,A,2-Aug-2019,N/A,
Carole,DA-S01509.000,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-02,A,2-Aug-2019,N/A,
Carole,DA-S01509.000,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-03,A,2-Aug-2019,N/A,
Lan,DA-S 00536.004,Global Product Part Master (GPPM),IIVP results,1,Install-02v01 Result,D,4-Aug-2019,Not compliant with procedure,Email
Lan,DA-S 01457.000,Global Product Part Master (GPPM),Test Protocol,2,Protocol-01v02 Protocol ,D,5-Aug-2019,Mutlible Errors,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),System Certification Summary,1,Validation Summary Report-01,D,5-Aug-2019,Mutlible Errors,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),System Certification Summary,1,Validation Summary Report-01,D,6-Aug-2019,Mutlible Errors,Email
Carole,DA-S00919.004,Global Product Part Master (GPPM),IIVP,2,Install-03,A,7-Aug-2019,N/A,
Lan,DA-S 01457.000,Global Product Part Master (GPPM),Software Change Request,2,SCR-02v01 Software Change Request,A,8-Aug-2019,,
Lan,DA-S 01457.000,Global Product Part Master (GPPM),URS,1,URS-01v02 URSs Specification],A,8-Aug-2019,,
Lan,DA-S 01457.000,Global Product Part Master (GPPM),CII,1,VDD-02v01 CII / Spreadsheet Template v1.10,D,8-Aug-2019,Mutlible Errors,Email
Lan,DA-S 01457.000,Global Product Part Master (GPPM),CII,1,VDD-02v01 CII / Spreadsheet Template v1.10,A,8-Aug-2019,,
Lan,DA-S 00536.004,Global Product Part Master (GPPM),IIVP results,1,Install-02v01 Result,A,8-Aug-2019,, 
Arun,DA-S 01112.000,Global Product Part Master (GPPM),FRS,5,FRS-05,A,8-Aug-2019,,NPV
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol,1,Protocol-24,A-FP,8-Aug-2019,N/A,
Lan,DA-S 01457.000,Global Product Part Master (GPPM),Test Protocol,3,Protocol-01v02 Protocol ,A,9-Aug-2019,,
Lan,DA-S 01457.000,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-01v02 Protocol Result ,A,9-Aug-2019,,
Lan,DA-S 01457.000,Global Product Part Master (GPPM),Software Change Request,1,VVSR-02v01 System Certification Summary Report,D,9-Aug-2019,Mutlible Errors,Email
Lan,DA-S 01457.000,Global Product Part Master (GPPM),Software Change Request,1,VVSR-02v01 System Certification Summary Report,A,9-Aug-2019,,
Lan,DA-S 00536.004,Global Product Part Master (GPPM),IIVP,2,Install-02v02,D,9-Aug-2019,Not compliant with procedure,
Lan,DA-S 00536.004,Global Product Part Master (GPPM),IIVP,2,Install-02v02,A,9-Aug-2019,,
Carole,DA-S00919.004,Global Product Part Master (GPPM),IIVP results,2,Install-03 Results,A,9-Aug-2019,N/A,
Carole,DA-S00921.001,Global Product Part Master (GPPM),Test Protocol,1,Protocol-23,A,10-Aug-2019,N/A,
Carole,DA-S00922.001,Global Product Part Master (GPPM),IIVP results,1,Install-01,A-FP,10-Aug-2019,N/A,
Carole,DA-S00923.001 ,Global Product Part Master (GPPM),IIVP results,1,Install-01,A-FP,10-Aug-2019,N/A,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),IIVP results,1,Install-03,A-FP,10-Aug-2019,N/A,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Traceability,5,TMatrixUSPro-01,A,10-Aug-2019,N/A,
Lan,DA-S 01069.003,Global Product Part Master (GPPM),FRS,5,SRS-01ver5 FRS for QIST v3.2,A,12-Aug-2019,,
Carole,DA-S00921.001,Global Product Part Master (GPPM),Traceability,5,TMatrixUSPro-01,A,12-Aug-2019,N/A,
Carole,DA-S00922.001,Global Product Part Master (GPPM),Traceability,5,TMatrixUSPro-01,A,12-Aug-2019,N/A,
Carole,DA-S00923.001 ,Global Product Part Master (GPPM),Traceability,2,TMatrixUSPro-01,A,12-Aug-2019,N/A,
Ken,DA-S01449.000,Global Product Part Master (GPPM),CII,2,,D,13-Aug-2019,Inaccurate information,CII change without IPDR
Ken,DA-S01449.000,Global Product Part Master (GPPM),IIVP results,1,Install-01 Results,D,13-Aug-2019,Inaccurate information,Does not match CII
Carole,DA-S01509.000,Global Product Part Master (GPPM),System Certification Summary,1,Validation Summary Report-01,D,15-Aug-2019,Mutlible Errors,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),System Certification Summary,1,Validation Summary Report-01,A,16-Aug-2019,N/A,
Arun,DA-S 01112.000,Global Product Part Master (GPPM),Test Protocol,7,Install -01,A,19-Aug-2019,,NPV
Lan,DA-S 1475.001,Global Product Part Master (GPPM),Project Plan,1,SPP-01,D,19-Aug-2019,Multiple Errors,Email
Carole,DA-S00921.001,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-23,D,20-Aug-2019,Mutlible Errors,Email
