SQA,Project ID,Application,Deliverable,Doc Version,"Doc ID, if needed",Approve or Disapprove,Date of Approval or Disapproval,Reason for Disapproval,Comments
Beilah,01033.011,Pulse,Test Protocol,1,HCE_Protocol,A-FP,3-Jan-2018,,
Beilah,01033.011,Pulse,Test Protocol,5,Diagnostics Library_v5_Protocol,A-FP,3-Jan-2018,,
Wayne,1073.000,Groninger,IIVP,1,,D,3-Jan-2018,Inaccurate information,
Wayne,01073.000,Groninger,IIVP,1,,A,3-Jan-2018,,
Wayne,01073.000,Groninger,Test Protocol,1,,D,3-Jan-2018,Inaccurate information,
Wayne,01073.000,Groninger,IIVP,2,,A,4-Jan-2018,,
Wayne,01073.000,Groninger,Test Protocol,1,,D,4-Jan-2018,Inaccurate information,
Beilah,01000.006,DPW,Test Protocol,1,Search_Protocol,A-FP,9-Jan-2018,,Previous link/approval
Wayne,01073.000,Groninger,Test Protocol,1,,A,9-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,1,TCTCPIT_E_05,D,11-Jan-2018,Inaccurate information,
Wayne,00055.041,eNovator,Traceability,1,,A,12-Jan-2018,,eNovator
Wayne,00419.016,Reliasoft Xfmea,Other,1,,A-FP,13-Jan-2018,,Other
Beilah,01090.000,WWLIMS,Test Protocol,1,TC_IPDR_ ADDWWLIMS08562_SLIGO,A,15-Jan-2018,,Resubmittal
Beilah,01090.000,WWLIMS,Test Protocol,1,TC_IPDR_ ADDWWLIMS08562_LONGFORD,A,15-Jan-2018,,Resubmittal
Beilah,01090.000,WWLIMS,Test Protocol,1,TCTCPIT_E_05,A,15-Jan-2018,,
Beilah,01033.011,Pulse,IIVP results,1,install for QA,A-FP,15-Jan-2018,,
Beilah,01033.011,Pulse,Test Protocol,1,DP_Product Lines_Protocol,A-FP,15-Jan-2018,,
Beilah,01033.011,Pulse,Test Protocol,1,DP_Product Lines_Protocol,A-FP,15-Jan-2018,,
Beilah,01033.011,Pulse,Traceability,4,,A-FP,15-Jan-2018,,
Nick,928.007,Apollo/PHM,IIVP results,2,2,A-FP,15-Jan-2018,,
Nick,928.007,Apollo/PHM,IIVP results,1,4,D,15-Jan-2018,Inaccurate information,
Nick,750.011,AFMS,Software Change Request,3,1,A,15-Jan-2018,,
Nick,750.011,AFMS,URS,6,1,D,15-Jan-2018,Not compliant with procedure,incorrect deletion of requirements
Nick,750.011,AFMS,FRS,6,1,D,15-Jan-2018,Not compliant with procedure,incorrect deletion of requirements
Nick,928.007,Apollo/PHM,IIVP results,1,3,A-FP,15-Jan-2018,,
Nick,928.007,Apollo/PHM,IIVP results,1,4,A,15-Jan-2018,,
Wayne,LC-S 01073.000,Groninger,Traceability,1,Protrace-01,A-FP,16-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,2,TCTCPIT_R_11,D,16-Jan-2018,Not following document version control,missing revision history/TCTCPIT_R_11
Beilah,01090.000,WWLIMS,Test Protocol,2,TCTCPIT_R_11,A,16-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,1,,A-FP,16-Jan-2018,,
Beilah,01090.000,WWLIMS,CII,1,Workstation v9.3a,A-FP,16-Jan-2018,,
Beilah,01090.000,WWLIMS,CII,1,Supplemental Items v9.3a,A-FP,16-Jan-2018,,
Beilah,00303.099,DFCS,Test Protocol Results,1,Test Protocol_01_DFCS_PostponementOrders,A-FP,16-Jan-2018,,
Nick,928.007,Apollo/PHM,Test Protocol,3,2,A-FP,16-Jan-2018,,
Nick,928.007,Apollo/PHM,Test Protocol,2,6,A-FP,16-Jan-2018,,
Nick,928.007,Apollo/PHM,Test Protocol,2,1,A-FP,16-Jan-2018,,
Nick,928.007,Apollo/PHM,Test Protocol,2,12,A-FP,16-Jan-2018,,
Nick,928.007,Apollo/PHM,Test Protocol,2,11,A-FP,16-Jan-2018,,
Nick,750.011,AFMS,URS,6,1,A,16-Jan-2018,,
Nick,750.011,AFMS,FRS,15,1,D,16-Jan-2018,Not compliant with procedure,
Nick,750.011,AFMS,CII,9,1,A,16-Jan-2018,,
Nick,354.004,SAS,Test Protocol,3,1,A-FP,16-Jan-2018,,
Nick,750.011,AFMS,FRS,15,1,A,16-Jan-2018,,
Wayne,01073.000,Groninger,Traceability,1,,A-FP,16-Jan-2018,,
Wayne,LC-S 01104.000,Assay File Database,Software Change Request,1,SCR-01,D,17-Jan-2018,Not compliant with procedure,
Wayne,LC-S 01104.000,Assay File Database,Software Change Request,1,SCR-01,A,17-Jan-2018,,
Beilah,01033.011,Pulse,Test Protocol Results,1,DP_Product Lines_Protocol,A-FP,17-Jan-2018,,
Beilah,00303.099,DFCS,User Acceptance Protocol,1,UAT 01_Postponement Picklist Changes,A-FP,17-Jan-2018,,
Beilah,00303.099,DFCS,User Acceptance Protocol,1,UAT 02_ Regression,A-FP,17-Jan-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3: ADDULCD771510T,A-FP,17-Jan-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3: ADDULCD772728l,A-FP,17-Jan-2018,,
Beilah,00303.099,DFCS,Software Change Request,2,,A-FP,17-Jan-2018,,
Beilah,00303.099,DFCS,Project Plan,2,,A-FP,17-Jan-2018,,
Beilah,00100.006,DPW,Test Protocol Results,1,Search_Protocol,A-FP,17-Jan-2018,,
Nick,750.011,AFMS,Validation Plan,2,1,A,17-Jan-2018,,
Wayne,01073.000,Groninger,Design Verification,1,,A-FP,17-Jan-2018,,
Wayne,01104.000,Assay File Database,Software Change Request,1,,D,17-Jan-2018,Not compliant with procedure,
Wayne,01104.000,Assay File Database,Software Change Request,1,,A,17-Jan-2018,,
Wayne,01073.000,Groninger,CII,1,,D,17-Jan-2018,Not compliant with procedure,
Wayne,LC-S 00986.005,PCN/SCN,Software Compliance Assessment,1,SCA-01,D,18-Jan-2018,Incorrect scope,"Project name includes SMF, but Assessment links only PCN SCN"
Beilah,01090.000,WWLIMS,Test Protocol,1,TCTCPLR_R_11,A-FP,18-Jan-2018,,
Beilah,01033.011,Pulse,Test Protocol Results,1,HCE_Protocol,D,18-Jan-2018,Not compliant with procedure,missing signature
Beilah,01033.011,Pulse,Test Protocol Results,1,HCE_Protocol,A,18-Jan-2018,,
Beilah,01033.011,Pulse,Test Protocol Results,5,Diagnostics Library_v5_Protocol,A-FP,18-Jan-2018,,
Beilah,01000.006,DPW,System Certification Summary,1,,D,18-Jan-2018,Inaccurate information,
Beilah,00303.099,DFCS,Traceability,13,,A-FP,18-Jan-2018,,
Beilah,01101.000,QIMS,Design Verification,1, Unit Testing Document for QIMS v2.50,A-FP,18-Jan-2018,,
Beilah,01101.000,QIMS,Design Verification,1,Unit Testing Document for QIMS Report Manager v1.80,A-FP,18-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,1,TCIDARCC_02,A-FP,18-Jan-2018,,
Beilah,01101.000,QIMS,CII,1,Configuration Item Inventory for QIMS 2.50,D,18-Jan-2018,Inaccurate information,
Beilah,01101.000,QIMS,CII,1,Configuration Item Inventory for QIMS Report Manager 1.80,D,18-Jan-2018,Inaccurate information,
Beilah,01114.000,Abbott Transfusion Medicine,Software Compliance Assessment,1,Abbott Transfusion Medicine,A-FP,18-Jan-2018,,Automatic Exclusion
Nick,epas 18-1658,Metrics Library,Project Plan,2,,A-FP,18-Jan-2018,,
Nick,750.011,AFMS,Test Protocol,2,3,A-FP,18-Jan-2018,,
